posting_text,label,has_whatsapp_apply,has_registration_fee,has_company_email,has_duration_mentioned,has_no_interview,has_earn_daily,text_length
"Business Analytics Internship at Accenture in Gurugram. Mode: Hybrid. Duration 2 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,244
Urgent hiring for interns. Guaranteed income of ₹500/day. Limited seats. Instant selection after payment.,0,1,1,0,1,1,1,105
Work from home internship. Earn ₹2000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,0,104
"Software Development Internship at Amazon India in Bengaluru. Mode: Hybrid. Duration 2 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,249
"QA Testing Internship at HCLTech in Chennai. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,234
"Cybersecurity Internship at Deloitte India in Chennai. Mode: Remote. Duration 2 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"DevOps Internship at Google India in Mumbai. Mode: On-site. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"UI/UX Design Internship at TCS in Noida. Mode: On-site. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,230
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,0,0,0,1,1,101
"Full Stack Development Internship at Amazon India in Noida. Mode: Hybrid. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
Urgent hiring for interns. Guaranteed income of ₹500/day. Limited seats. Instant selection after payment.,0,1,0,0,1,1,1,105
"Embedded Systems Internship at CRED in Chennai. Mode: Hybrid. Duration 4 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Software Development Internship at Flipkart in Gurugram. Mode: Hybrid. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,0,1,1,103
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,1,1,104
Urgent hiring for interns. Guaranteed income of ₹5000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,1,1,106
"Full Stack Development Internship at Google India in Mumbai. Mode: On-site. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,250
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,1,1,101
Urgent hiring for interns. Guaranteed income of ₹3000/day. Limited seats. Instant selection after payment.,0,0,1,0,1,1,1,106
"Machine Learning Internship at Freshworks in Gurugram. Mode: Remote. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,243
"Frontend Development Internship at Flipkart in Noida. Mode: Hybrid. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"QA Testing Internship at Nykaa in Noida. Mode: On-site. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,230
"Cloud Computing Internship at Google India in Noida. Mode: Remote. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
